Date,AverageTemperature,IsHoliday,Season
2020-01-20,7.7,False,Heating
2020-01-21,6.5,False,Heating
2020-01-22,5.0,False,Heating
2020-01-23,9.4,False,Heating
2020-01-24,10.6,False,Intermediate
2020-01-25,7.4,True,Heating
2020-01-26,8.9,True,Heating
2020-01-27,8.2,False,Heating
2020-01-28,9.5,False,Heating
2020-01-29,9.0,False,Heating
2020-01-30,6.9,False,Heating
2020-01-31,4.4,False,Heating
2020-02-01,4.9,True,Heating
2020-02-02,5.7,True,Heating
2020-02-03,6.1,False,Heating
2020-02-04,4.9,False,Heating
2020-02-05,4.5,False,Heating
2020-02-06,2.7,False,Heating
2020-02-07,3.1,False,Heating
2020-02-08,5.9,True,Heating
2020-02-09,3.2,True,Heating
2020-02-10,5.0,False,Heating
2020-02-11,5.9,True,Heating
2020-02-12,8.1,False,Heating
2020-02-13,13.4,False,Intermediate
2020-02-14,10.0,False,Heating
2020-02-15,9.5,True,Heating
2020-02-16,10.8,True,Intermediate
2020-02-17,5.6,False,Heating
2020-02-18,3.9,False,Heating
2020-02-19,4.8,False,Heating
2020-02-20,6.8,False,Heating
2020-02-21,7.2,False,Heating
2020-02-22,9.2,True,Heating
2020-02-23,8.5,True,Heating
2020-02-24,7.5,True,Heating
2020-02-25,8.5,False,Heating
2020-02-26,10.8,False,Intermediate
2020-02-27,5.9,False,Heating
2020-02-28,5.9,False,Heating
2020-02-29,6.8,True,Heating
2020-03-01,9.1,True,Heating
2020-03-02,10.4,False,Intermediate
2020-03-03,9.1,False,Heating
2020-03-04,7.8,False,Heating
2020-03-05,5.8,False,Heating
2020-03-06,6.7,False,Heating
2020-03-07,7.1,True,Heating
2020-03-08,10.0,True,Heating
2020-03-09,10.6,False,Intermediate
2020-03-10,14.0,False,Intermediate
2020-03-11,11.0,False,Intermediate
2020-03-12,8.6,False,Heating
2020-03-13,9.9,False,Heating
2020-03-14,9.5,True,Heating
2020-03-15,7.3,True,Heating
2020-03-16,5.2,False,Heating
2020-03-17,7.8,False,Heating
2020-03-18,12.7,False,Intermediate
2020-03-19,14.0,False,Intermediate
2020-03-20,12.2,True,Intermediate
2020-03-21,12.6,True,Intermediate
2020-03-22,13.2,True,Intermediate
2020-03-23,12.4,False,Intermediate
2020-03-24,10.3,False,Intermediate
2020-03-25,9.8,False,Heating
2020-03-26,13.3,False,Intermediate
2020-03-27,15.5,False,Intermediate
2020-03-28,12.5,True,Intermediate
2020-03-29,9.8,True,Heating
2020-03-30,9.9,False,Heating
2020-03-31,14.1,False,Intermediate
