Date,AverageTemperature,IsHoliday,Season
2019-12-09,9.5,False,Heating
2019-12-10,10.4,False,Intermediate
2019-12-11,10.8,False,Intermediate
2019-12-12,10.6,False,Intermediate
2019-12-13,8.5,False,Heating
2019-12-14,9.9,True,Heating
2019-12-15,9.2,True,Heating
2019-12-16,9.5,False,Heating
2019-12-17,13.0,False,Intermediate
2019-12-18,12.8,False,Intermediate
2019-12-19,9.9,False,Heating
2019-12-20,10.5,False,Intermediate
2019-12-21,9.4,True,Heating
2019-12-22,8.2,True,Heating
2019-12-23,9.9,False,Heating
2019-12-24,9.8,False,Heating
2019-12-25,10.1,False,Intermediate
2019-12-26,10.9,False,Intermediate
2019-12-27,9.0,False,Heating
2019-12-28,7.6,True,Heating
2019-12-29,8.9,True,Heating
2019-12-30,10.8,False,Intermediate
2019-12-31,9.6,False,Heating
2020-01-01,6.5,True,Heating
2020-01-02,8.4,False,Heating
2020-01-03,9.7,False,Heating
2020-01-04,9.4,True,Heating
2020-01-05,6.7,True,Heating
2020-01-06,7.3,False,Heating
2020-01-07,7.7,False,Heating
2020-01-08,13.0,False,Intermediate
2020-01-09,10.4,False,Intermediate
2020-01-10,9.3,False,Heating
2020-01-11,8.1,True,Heating
2020-01-12,9.0,True,Heating
2020-01-13,8.6,True,Heating
2020-01-14,7.4,False,Heating
2020-01-15,7.3,False,Heating
2020-01-16,6.9,False,Heating
2020-01-17,7.7,False,Heating
2020-01-18,8.6,True,Heating
2020-01-19,8.0,True,Heating
2020-01-20,9.5,False,Heating
2020-01-21,7.6,False,Heating
2020-01-22,7.6,False,Heating
2020-01-23,10.6,False,Intermediate
2020-01-24,11.4,False,Intermediate
2020-01-25,8.5,True,Heating
2020-01-26,9.4,True,Heating
2020-01-27,9.2,False,Heating
2020-01-28,12.7,False,Intermediate
2020-01-29,11.5,False,Intermediate
2020-01-30,8.5,False,Heating
2020-01-31,6.4,False,Heating
2020-02-01,7.0,True,Heating
2020-02-02,7.7,True,Heating
2020-02-03,8.4,False,Heating
2020-02-04,7.5,False,Heating
2020-02-05,7.0,False,Heating
2020-02-06,2.8,False,Heating
2020-02-07,3.3,False,Heating
2020-02-08,7.0,True,Heating
2020-02-09,3.7,True,Heating
2020-02-10,5.6,False,Heating
2020-02-11,6.9,True,Heating
2020-02-12,9.9,False,Heating
2020-02-13,14.7,False,Intermediate
2020-02-14,12.1,False,Intermediate
2020-02-15,11.3,True,Intermediate
2020-02-16,12.6,True,Intermediate
2020-02-17,7.4,False,Heating
2020-02-18,5.2,False,Heating
